commodity,value_bd
Aluminium Alloys Chequerred Plates And Sheets  Of A Thickness Of 1.0 Mm Or More But Not Exceeding 3.2 Mm,26188.834
Aluminium Alloys Flattened Or Grained Coils And Strips Of A Thickness Exceeding 0.4 Mm But Not Exceeding 8 Mm,53123.37100000001
Aluminium Alloys Plates And Sheets Of A Thickness Exceeding 0.2,54308.769
Aluminium Containers For Gas 100 L And Less,9560.428
"Aluminium Curtains (Blinds, Venetian)",161885.057
Aluminium Electrolytic Fixed Capacitors,6916.362
Aluminium Foil Rolled Not Backed Put Up For Retail Sale,147106.974
"Aluminium Foil, Rolled, Put For Retail Sale  Backed",161381.791
"Aluminium Foil, Rolled, Put Up For Retail",831097.036
Aluminium Hydroxide,22761.657
Aluminium Tube Or Pipe Fittings,69750.82
Aluminium Waste And Scrap,18423333.897
Aluminous Cement,1698.3500000000001
"Aluminum Electric Wire With Steel Core, Not Insulated",68715.086
"Aluminum Reservoirs, Tanks And The Like, Over 300 L",29985.07
"Aluminum Wire, Alloyed, Over 7 Mm Thick",694428.514
Alums,365.775
Amalgams (Other Than Amalgams Of Precious Metals Of Heading 28.43),271.671
"Amino-Alcohol-Phenols, Amino-Acid-Phenols",400.65599999999995
"Amino-Resins Poly(Methylene Phenyl Isocyanate) (Crude Mdi, Polymeric Mdi)",263927.719
"Amino-Resins Sheets, Film, Etc.",9.73
Aminohydroxynaphthalenesulphonic Acids And Salts,86508.166
Ammonia In Aqueous Solution,13778.463
Ammonium Chloride,364.406
Ammonium Dihydrogenorthophosphate,6445.28
Ammonium Phosphide Insecticides Do Not Contain Bromomethane (Methyl Bromide) Or Bromochloromethane,40860.525
Ammonium Sulphate,25.0
Amplifiers,16852.86
Ampoules Of Glass,1934.92
"Anchors, Grapnels And Parts, Of Iron Or Steel",82715.004
Anchovies (Engraulis Spp.) Fresh Or Chilled,12268.133
"Anchovies (Engraulis Spp.), Dried, Wether Or Not Salted",8293.907
"Anchovies, Prepared Or  Preserved Not Minced",17009.299
"Andalusite, Kyanite And Sillimanite",96.579
Angles And Joints For Stamps And Photographs,8230.423
Angles Ties For Fastening Decoration Tiles In Ceilings,83819.341
"Angles, Shapes And Sections Of Iron And Steel",1656683.46
"Angles, Shapes And Sections Of Other Alloy Steel",6180.280000000001
"Angles, Shapes And Sections Of Stainless Steel",365179.376
"Angles, Shapes And Sections, Not Further Worked Than Coldformed Or Cold-Finished Obtained From Flat-Rolled Products",187172.26
"Angles, Shapes And Sections, Of Steel",311258.489
"Angles, Shapes And Sections, Of Steel Cold-Formed Or Cold-Finished From Flat-Rolled Products",431501.346
"Angles, Shapes, Sheets, Plates And The Like, Magnesium",1189.643
Anhydrite,69.43
Anhydrous Ammonia,51853.954
Aniline And Its Salts,62.46
"Animal Fats And Oils, Hydrogenated, Etc.",26319.574
Animal Or Vegetable Fertilizers,141169.947
"Animals For Zoo, Scientific And Research Labs",1309.75
Anodes Of Copper Or Copper Alloys For Electro-Plating,819.98
Anras Yeast,3133.076
"Anthracite, But Not Agglomcratcd",4095104.653
Anti-Freezing Preparations And Prepared De-Icing Fluids,666859.318
Anti-Knock Preparations Based On Lead Compounds,4663.6410000000005
"Anti-Oxidising Preparations And Other Compound Stabilisers For Rubber Or Plastics Of Mixtures Of Oligomers Of 2,2,4-Trimethyl-1,2-Dihydroquinoline (Tmq)",20011.031
Anti-Rust And Anti-Corrosion Preparations,44952.868
Anti-Rust Preparations,1120444.866
Anti-Slip Transmission Belt Preparations,19133.914999999997
Antimony Oxides,5.641
Antique Carpets Of All Kinds Over 100 Years Old,5191.13
Antique Furniture And Parts Over 100 Years Old,3354.12
Antiques Over 250 Years Old,665.3
Antisera And Other Blood Fractions,2350517.355
Ants Eggs,277.61
Apparatus For Automatically Developing Film,1265.047
Apparatus For Electrical Control 1000 V Or Less,8198341.193
Apparatus For Electrical Control Over 1000 V,3753117.9129999997
Apparatus For Measuring The Blood Pressure And Arteriosclerosis,343363.481
Apparatus For Reception Of Television Transmision Via Satellites (Receivers),21164.32
Apparatus For Remote Transmission Or Reception Of Signals.,79991.784
Apparel For Surgeons And X-Rey Operators Of Vulcanised,2475.408
"Apple  Juice, Of Brix Value Not Exceeding 20,  Containing Added Sugar Or Other Sweetening Matter.",434205.585
"Apple  Juice, Of Brix Value Not Exceeding 20,  Not Containing Added Sugar Or Other Sweetening Matter.",172014.057
Apple Jams And Jellies,6684.718
Apple Juice Of A Brix Value Not Exceeding 20,15085.037
"Apples, Dried",790.894
"Apples, Fresh",5537598.549
"Appliances For Correcting Scoliosis And Curvature Of The Spine, Surgical Corsets And Belts ( Excluding Those Of Heading 62.12 )",63642.15
Appliances For Ear Medicine,36323.032
Appliances For Marking Traffic Signs On Roads,23805.642
Appliances For Nose And Throat Medicine,181402.02500000002
Appliances Identifiable For Ostomy Use,136722.274
Apricot Jams And Jellies,28539.197
Apricot Sheets,28438.078
"Apricot, Peach (Including Nectarine) Or Plum Stones And Kernels",16130.444
"Apricots, Dried",98163.707
"Apricots, Fresh",480927.836
Aqueous Solutions Of Essential Oils,141356.934
Arc-Lamps Ultra-Violet Or Infra-Red,53451.057
Argon,61898.078
"Armored Safes, Strong-Boxes And The Like, Of Base Metal",451786.649
"Arms, Forearms, Hands, Legs, Feet, Noses And Heart Vales",439.676
Arrowroot Flour,608.652
Arrowroot Starch,195.0
Arsenic,512.79
"Artichokes, Not Frozen",19363.177
Articles And Equipment For Table-Tennis,39047.283
Articles For Christmas Festivities,175560.889
Articles For Domestic Purposes Of Nickel N.E.S.,46922.577
Articles For Offices Of Glass-Ceramics,1190.38
"Articles For Refrigeration Industry, And Crops Preservation Natural Cork",263.13
Articles For Rural Works,11587.734
Articles For Toilets Of Lead Crystal,222020.565
"Articles Having A Hardness Equivalent To 9 Or More On The Mohs Scale Ceramic For Laboratory, Chemical Or Other Technical Uses",50650.853
"Articles Of Aluminium, N.E.S.",116599.027
Articles Of Apparel And Clothing Accessories,45036.356
"Articles Of Apparel And Clothing Accessories, Of Plastics",565973.462
Articles Of Apparel And Clothing For Divers And Firemen Of Vulcanised Rubber,5659.391
Articles Of Apparel Of Leather,337038.544
Articles Of Cellular Rubber,351642.726
"Articles Of Copper Wires (Traps, Waste Baskets, Etc.)",18676.429
Articles Of Granite,263974.846
Articles Of Luffa (Bath Luffa And The Like),77602.801
Articles Of Other Calcareous Stone,136539.933
Articles Of Other Stone,325259.788
Articles Of Personal Ornamentation Of Pearls,1106.5720000000001
Articles Of Personal Ornamentation Of Precious Stones,123658.964
"Articles Of Wooden Furniture,Other Then Those Of Chapter 94, (Clothes Bruch Hangers,Letter Trays For Office Use, Ashtrays  . . . Etc.)",60058.897000000004
"Artifical Flowers, Etc., Of Other Materials",190309.018
Artificial Corundum,40038.339
"Artificial Filament Sewing Thread, Not Retail",933.3990000000001
"Artificial Filament Sewing Thread, Retail",228.44
"Artificial Flowers, Etc., Of Metal Sheets",8715.847
"Artificial Flowers, Etc., Of Plastics",399237.131
"Artificial Flowers, Etc., Of Textiles",42070.590000000004
Artificial Fur In The Form Of Pieces,2987.4
Artificial Graphite,293504.662
Artificial Guts Of Hardened Protein,25880.07
Artificial Guts Of Waterproofing Paper For Sausages,23952.728
Artificial Honey,248477.656
Artificial Honeycombs For Beehives,34.301
Artificial Kidney Appliances,1007619.324
Artificial Mineral Waters,408663.588
"Artificial Ocular Fittings (Artifial Eyes, Intra-Ocular Lenses)",197014.684
Artificial Soap Prepared For Special Use,4893.648999999999
"Artificial Staple Fibers, For Spinning",206.906
Artificial Teeth,15516.992
"Artists' Brushes, Writing Brushes And The Like",132366.096
Asafoetida,49579.413
Ash Trays Of Plastic,3725.5899999999997
Ashtrays Of Porcelain Or China,2843.796
"Asparagus, Fresh Or Chilled",199384.859
"Asparagus, Not Frozen",724.993
Asphalt In Rolls,1839515.324
Assorted Tableware Sets At Least Some Of Precious Metal,42181.033
"Atlantic And Pacific Bluefin Tunas (Thunnus Thynnus, Thunnus
Orientalis), Frozen.",3538.625
"Atlantic And Pacific Bluefin Tunas (Thunnus Thynnus,Thunnus Orientalis ) Fresh Or Chilled",26914.404000000002
Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho) Fresh Or Chilled,1512982.845
