flow,year,country_name,value_bd
Export,2024,Czech Republic,2567723.06
Export,2024,Democratic Republic Of Congo,28616.684
Export,2024,Denmark,2642542.319
Export,2024,Djibouti,320936.916
Export,2024,Dominican Republic,408756.50299999997
Export,2024,Duty Free & Warehouse,12583032.044
Export,2024,Ecuador,10396024.155
Export,2024,Egypt,133405527.045
Export,2024,El Salvador,2014216.6570000001
Export,2024,Eritrea,7615.265
Export,2024,Estonia,19779.008
Export,2024,Ethiopia,392409.937
Export,2024,Fiji,61265.737
Export,2024,Finland,1463359.138
Export,2024,France,30389790.565000005
Export,2024,Free Zone Jabal Ali,308711.88800000004
Export,2024,Gabon,439158.082
Export,2024,Georgia,122015.37
Export,2024,Germany,23539132.993
Export,2024,Ghana,367522.69899999996
Export,2024,Greece,77662790.369
Export,2024,Guinea,67189.74399999999
Export,2024,Guyana,114346.162
Export,2024,Hong Kong,19576749.651
Export,2024,Hungary,832163.069
Export,2024,Iceland,3719.441
Export,2024,India,160958371.372
Export,2024,Indonesia,11004621.572
Export,2024,Iran,279036.349
Export,2024,Iraq,22173198.119
Export,2024,Ireland,1065599.618
Export,2024,Israel,196471.416
Export,2024,Italy,126466803.77499999
Export,2024,Ivory Coast,273936.638
Export,2024,Jamaica,5.265
Export,2024,Japan,60202505.516
Export,2024,Jordan,40221418.129
Export,2024,Kenya,2313473.897
Export,2024,Kuwait,97641339.749
Export,2024,Kyrgyzstan,1486.498
Export,2024,Latvia,3548.709
Export,2024,Lebanon,4601166.692
Export,2024,Liberia,31250.732
Export,2024,Libya,29963480.564000003
Export,2024,Lithuania,1659445.077
Export,2024,Luxembourg,7612714.303
Export,2024,Macau,1686.982
Export,2024,Madagascar,16229.812999999998
Export,2024,Malaysia,35675351.602
Export,2024,Maldive Islands,29396.738
Export,2024,Malta,59700.145000000004
Export,2024,Mauritania,13663.023
Export,2024,Mauritius,4268026.536
Export,2024,Mayotte,9424.29
Export,2024,Mexico,59437908.721
Export,2024,Monaco,1694.808
Export,2024,Montenegro,2895178.452
Export,2024,Morocco,81096942.202
Export,2024,Mozambique,209913.45
Export,2024,Myanmar,131.628
Export,2024,Namibia,54189.51
Export,2024,Nepal,4692742.088
Export,2024,Netherlands,216534276.174
Export,2024,New Zealand,3910752.1130000004
Export,2024,Nicaragua,19294.836
Export,2024,Niger,286709.393
Export,2024,Nigeria,3725112.876
Export,2024,Norway,1303639.037
Export,2024,Pakistan,12088674.59
Export,2024,Palestine,2710275.255
Export,2024,Panama,30381.386
Export,2024,Paraguay,3142410.79184
Export,2024,Peru,467789.81799999997
Export,2024,Philippines,2735596.455
Export,2024,Poland,16969736.658999998
Export,2024,Portugal,29330.781000000003
Export,2024,Qatar,127982267.66284
Export,2024,Repablic Of Congo,118960.53199999999
Export,2024,Republic Of Korea,100746953.634
Export,2024,Republic Of Moldova,16228.377
Export,2024,Returned Bahrain Goods,225407.087
Export,2024,Romania,903708.296
Export,2024,Russian Federation,814734.048
Export,2024,Rwanda,250.0
Export,2024,Saint Lucia,8664.906
Export,2024,San Marino,65.806
Export,2024,Saudi Arabia,1082797092.12642
Export,2024,Senegal,4631132.795
Export,2024,Serbia,12791.021999999999
Export,2024,Seychelles,174756.072
Export,2024,Singapore,40777888.891
Export,2024,Slovakia,140034.778
Export,2024,Slovenia,524395.519
Export,2024,Somalia,1836735.2570000002
Export,2024,South Africa,17410815.421
Export,2024,South Sudan,2034.598
Export,2024,Spain,108416933.16
Export,2024,Sri Lanka,12596191.452
Export,2024,Sudan,2967402.826
Export,2024,Sultanate Oman,88788940.65068
Export,2024,Supply Of Ships And Aircrafts,12755834.87956
Export,2024,Sweden,2710263.242
Export,2024,Switzerland,6635768.85
Export,2024,Syria,282064.91000000003
Export,2024,Taiwan,24018541.814
Export,2024,Tanzania,6149581.595000001
Export,2024,Thailand,61714506.17
Export,2024,Togo,55100.522000000004
Export,2024,Tunisia,23433028.017
Export,2024,Turkey,82760571.43829
Export,2024,Turkmenistan,136815.26
Export,2024,Uganda,21344.856
Export,2024,Ukraine,135969.336
Export,2024,United Arab Emirates,655516113.07892
Export,2024,United Kingdom,39539454.809999995
Export,2024,United States Of America,431611659.31639
Export,2024,Uruguay,895.073
Export,2024,Venezuela,10000.0
Export,2024,Vietnam,4682134.599
Export,2024,Yemen,6071322.742000001
Import,2023,Afghanistan,401336.439
Import,2023,Albania,221901.277
Import,2023,Algeria,512457.786
